team,player,pos,xg90,xsot90,goals,xg,minutes,is_placeholder_stats
Everton,Tyrique George,FW,0.415,1.06,11.0,10.65,2560.0,False
Everton,Harvey Foster,,0.305,0.835,8.0,7.8,2600.0,False
Fulham,Bernd Leno,GK,0.305,0.835,8.0,7.8,2600.0,False
Fulham,Benjamin Lecomte,GK,0.305,0.835,8.0,7.8,2600.0,False
Fulham,Timothy Castagne,DF,0.09,0.25,3.0,2.8,2800.0,False
Fulham,Joachim Andersen,DF,0.09,0.25,3.0,2.8,2800.0,False
Fulham,Antonee Robinson,DF,0.09,0.25,3.0,2.8,2800.0,False
Fulham,Ryan Sessegnon,DF,0.09,0.25,3.0,2.8,2800.0,False
Fulham,Issa Diop,DF,0.09,0.25,3.0,2.8,2800.0,False
Fulham,Kenny Tete,DF,0.09,0.25,3.0,2.8,2800.0,False
Fulham,Jorge Cuenca,DF,0.09,0.25,3.0,2.8,2800.0,False
Fulham,Luc De Fougerolles,DF,0.09,0.25,3.0,2.8,2800.0,False
Chelsea,Mamadou Sarr,DF,0.09,0.25,3.0,2.8,2800.0,False
Arsenal,David Raya,GK,0.305,0.835,8.0,7.8,2600.0,False
Arsenal,Illan Meslier,GK,0.305,0.835,8.0,7.8,2600.0,False
Arsenal,Tommy Setford,GK,0.305,0.835,8.0,7.8,2600.0,False
Chelsea,Tosin Adarabioyo,DF,0.09,0.25,3.0,2.8,2800.0,False
Chelsea,Wesley Fofana,DF,0.09,0.25,3.0,2.8,2800.0,False
Chelsea,Reece James,DF,0.09,0.25,3.0,2.8,2800.0,False
Chelsea,Maxence Lacroix,DF,0.09,0.25,3.0,2.8,2800.0,False
Chelsea,Pep Chavarría,DF,0.09,0.25,3.0,2.8,2800.0,False
Chelsea,Malo Gusto,DF,0.09,0.25,3.0,2.8,2800.0,False
Chelsea,Benoît Badiashile,DF,0.09,0.25,3.0,2.8,2800.0,False
Chelsea,Levi Colwill,DF,0.09,0.25,3.0,2.8,2800.0,False
Aston Villa,Alejandro Garnacho,FW,0.415,1.06,11.0,10.65,2560.0,False
Chelsea,Jorrel Hato,DF,0.09,0.25,3.0,2.8,2800.0,False
Aston Villa,Lewis Dobbin,FW,0.415,1.06,11.0,10.65,2560.0,False
Aston Villa,Emiliano Buendía,FW,0.415,1.06,11.0,10.65,2560.0,False
Aston Villa,Ian Maatsen,DF,0.09,0.25,3.0,2.8,2800.0,False
Aston Villa,Matteo Ruggeri,DF,0.09,0.25,3.0,2.8,2800.0,False
Aston Villa,Andrés Garcia,DF,0.09,0.25,3.0,2.8,2800.0,False
Aston Villa,Kosta Nedeljković,DF,0.09,0.25,3.0,2.8,2800.0,False
Aston Villa,Modou Keba Cisse,DF,0.09,0.25,3.0,2.8,2800.0,False
Chelsea,Trevoh Chalobah,DF,0.09,0.25,3.0,2.8,2800.0,False
Chelsea,Axel Disasi,DF,0.09,0.25,3.0,2.8,2800.0,False
Chelsea,Mike Penders,GK,0.305,0.835,8.0,7.8,2600.0,False
Chelsea,Teddy Sharman-Lowe,GK,0.305,0.835,8.0,7.8,2600.0,False
Arsenal,Ben White,DF,0.09,0.25,3.0,2.8,2800.0,False
Arsenal,Jurrien Timber,DF,0.09,0.25,3.0,2.8,2800.0,False
Arsenal,Piero Hincapié,DF,0.09,0.25,3.0,2.8,2800.0,False
Arsenal,Riccardo Calafiori,DF,0.09,0.25,3.0,2.8,2800.0,False
Arsenal,Cristhian Mosquera,DF,0.09,0.25,3.0,2.8,2800.0,False
Arsenal,Myles Lewis-Skelly,DF,0.09,0.25,3.0,2.8,2800.0,False
Arsenal,Bruno Guimarães,MF,0.21,0.6,6.0,5.2,2600.0,False
Arsenal,Eberechi Eze,MF,0.21,0.6,6.0,5.2,2600.0,False
Everton,Dwight McNeil,FW,0.415,1.06,11.0,10.65,2560.0,False
Arsenal,Mikel Merino,MF,0.21,0.6,6.0,5.2,2600.0,False
Aston Villa,Tyrone Mings,DF,0.09,0.25,3.0,2.8,2800.0,False
Aston Villa,Matty Cash,DF,0.09,0.25,3.0,2.8,2800.0,False
Aston Villa,Pau Torres,DF,0.09,0.25,3.0,2.8,2800.0,False
Aston Villa,Alysson,FW,0.415,1.06,11.0,10.65,2560.0,False
Aston Villa,Brian Madjo,FW,0.415,1.06,11.0,10.65,2560.0,False
Chelsea,Robert Sánchez,GK,0.305,0.835,8.0,7.8,2600.0,False
Chelsea,Gabriel Slonina,GK,0.305,0.835,8.0,7.8,2600.0,False
Chelsea,Filip Jörgensen,GK,0.305,0.835,8.0,7.8,2600.0,False
Aston Villa,Ezri Konsa,DF,0.09,0.25,3.0,2.8,2800.0,False
Aston Villa,Ross Barkley,MF,0.21,0.6,6.0,5.2,2600.0,False
Fulham,Calvin Bassey,DF,0.09,0.25,3.0,2.8,2800.0,False
Chelsea,Marco Palestra,DF,0.09,0.25,3.0,2.8,2800.0,False
Brighton & Hove Albion,Amario Cozier-Duberry,FW,0.415,1.06,11.0,10.65,2560.0,False
Tottenham Hotspur,Pedro Porro,DF,0.09,0.25,3.0,2.8,2800.0,False
Sunderland,Wilson Isidor,FW,0.415,1.06,11.0,10.65,2560.0,False
Tottenham Hotspur,Marcos Senesi,DF,0.09,0.25,3.0,2.8,2800.0,False
Chelsea,Geovany Quenda,FW,0.415,1.06,11.0,10.65,2560.0,False
Chelsea,Estevao,FW,0.415,1.06,11.0,10.65,2560.0,False
Everton,Jordan Pickford,GK,0.305,0.835,8.0,7.8,2600.0,False
Everton,Thomas King,GK,0.305,0.835,8.0,7.8,2600.0,False
Everton,Mark Travers,GK,0.305,0.835,8.0,7.8,2600.0,False
Everton,James Tarkowski,DF,0.09,0.25,3.0,2.8,2800.0,False
Everton,Michael Keane,DF,0.09,0.25,3.0,2.8,2800.0,False
Chelsea,Marc Guiu,FW,0.415,1.06,11.0,10.65,2560.0,False
Everton,Vitalii Mykolenko,DF,0.09,0.25,3.0,2.8,2800.0,False
Everton,Jake O'Brien,DF,0.09,0.25,3.0,2.8,2800.0,False
Everton,Nathan Patterson,DF,0.09,0.25,3.0,2.8,2800.0,False
Everton,Adam Aznou,DF,0.09,0.25,3.0,2.8,2800.0,False
Everton,Christian Nørgaard,MF,0.21,0.6,6.0,5.2,2600.0,False
Brighton & Hove Albion,Yankubah Minteh,FW,0.415,1.06,11.0,10.65,2560.0,False
Everton,James Garner,MF,0.21,0.6,6.0,5.2,2600.0,False
Brighton & Hove Albion,Kaoru Mitoma,FW,0.415,1.06,11.0,10.65,2560.0,False
Brighton & Hove Albion,Georginio Rutter,FW,0.415,1.06,11.0,10.65,2560.0,False
Brighton & Hove Albion,Stefanos Tzimas,FW,0.415,1.06,11.0,10.65,2560.0,False
Brentford,Jannik Schuster,DF,0.09,0.25,3.0,2.8,2800.0,False
Brighton & Hove Albion,Ibrahim Osman,FW,0.415,1.06,11.0,10.65,2560.0,False
Brighton & Hove Albion,Tom Watson,FW,0.415,1.06,11.0,10.65,2560.0,False
Brighton & Hove Albion,Eiran Cashin,DF,0.09,0.25,3.0,2.8,2800.0,False
Brighton & Hove Albion,Diego Coppola,DF,0.09,0.25,3.0,2.8,2800.0,False
Brighton & Hove Albion,Costinha,DF,0.09,0.25,3.0,2.8,2800.0,False
Brighton & Hove Albion,Luka Vušković,DF,0.09,0.25,3.0,2.8,2800.0,False
Brighton & Hove Albion,Matt O'Riley,MF,0.21,0.6,6.0,5.2,2600.0,False
Brighton & Hove Albion,Pascal Groß,MF,0.21,0.6,6.0,5.2,2600.0,False
Brighton & Hove Albion,Yasin Ayari,MF,0.21,0.6,6.0,5.2,2600.0,False
Brighton & Hove Albion,Carlos Baleba,MF,0.21,0.6,6.0,5.2,2600.0,False
Brighton & Hove Albion,Diego Gómez,MF,0.21,0.6,6.0,5.2,2600.0,False
Brighton & Hove Albion,Facundo Buonanotte,MF,0.21,0.6,6.0,5.2,2600.0,False
Brighton & Hove Albion,Jack Hinshelwood,MF,0.21,0.6,6.0,5.2,2600.0,False
Brighton & Hove Albion,Malick Yalcouyé,MF,0.21,0.6,6.0,5.2,2600.0,False
Brighton & Hove Albion,Danny Welbeck,FW,0.415,1.06,11.0,10.65,2560.0,False
Brighton & Hove Albion,Evan Ferguson,FW,0.415,1.06,11.0,10.65,2560.0,False
Everton,Hayden Hackney,MF,0.21,0.6,6.0,5.2,2600.0,False
Everton,Kiernan Dewsbury Hall,MF,0.21,0.6,6.0,5.2,2600.0,False
Everton,Jarrad Branthwaite,DF,0.09,0.25,3.0,2.8,2800.0,False
Fulham,Saša Lukić,MF,0.21,0.6,6.0,5.2,2600.0,False
Fulham,Emile Smith Rowe,MF,0.21,0.6,6.0,5.2,2600.0,False
Fulham,Luke Harris,MF,0.21,0.6,6.0,5.2,2600.0,False
Fulham,Shea Charles,MF,0.21,0.6,6.0,5.2,2600.0,False
Fulham,Joshua King,MF,0.21,0.6,6.0,5.2,2600.0,False
Fulham,César Palacios,MF,0.21,0.6,6.0,5.2,2600.0,False
Fulham,Alex Iwobi,FW,0.415,1.06,11.0,10.65,2560.0,False
Fulham,Rodrigo Muniz,FW,0.415,1.06,11.0,10.65,2560.0,False
Fulham,Kevin Santos,FW,0.415,1.06,11.0,10.65,2560.0,False
Fulham,Oscar Bobb,FW,0.415,1.06,11.0,10.65,2560.0,False
Fulham,Jonah Kusi-Asare,FW,0.415,1.06,11.0,10.65,2560.0,False
Fulham,Gonzalo García,FW,0.415,1.06,11.0,10.65,2560.0,False
Liverpool,Alisson Becker,GK,0.305,0.835,8.0,7.8,2600.0,False
Liverpool,Freddie Woodman,GK,0.305,0.835,8.0,7.8,2600.0,False
Liverpool,Giorgi Mamardashvili,GK,0.305,0.835,8.0,7.8,2600.0,False
Liverpool,Vítězslav Jaroš,GK,0.305,0.835,8.0,7.8,2600.0,False
Fulham,Harrison Reed,MF,0.21,0.6,6.0,5.2,2600.0,False
Fulham,Sander Berge,MF,0.21,0.6,6.0,5.2,2600.0,False
Everton,Harrison Armstrong,MF,0.21,0.6,6.0,5.2,2600.0,False
Everton,Tim Iroegbunam,MF,0.21,0.6,6.0,5.2,2600.0,False
Everton,Merlin Röhl,MF,0.21,0.6,6.0,5.2,2600.0,False
Chelsea,Alejandro Garnacho,FW,0.415,1.06,11.0,10.65,2560.0,False
Chelsea,Jamie Bynoe-Gittens,FW,0.415,1.06,11.0,10.65,2560.0,False
Chelsea,Aaron Anselmino,DF,0.09,0.25,3.0,2.8,2800.0,False
Chelsea,Josh Acheampong,DF,0.09,0.25,3.0,2.8,2800.0,False
Chelsea,Denner,DF,0.09,0.25,3.0,2.8,2800.0,False
Chelsea,Jordan Henderson,MF,0.21,0.6,6.0,5.2,2600.0,False
Chelsea,Morgan Rogers,MF,0.21,0.6,6.0,5.2,2600.0,False
Chelsea,Moisés Caicedo,MF,0.21,0.6,6.0,5.2,2600.0,False
Fulham,Tom Cairney,MF,0.21,0.6,6.0,5.2,2600.0,False
Chelsea,Dario Essugo,MF,0.21,0.6,6.0,5.2,2600.0,False
Chelsea,Romeo Lavia,MF,0.21,0.6,6.0,5.2,2600.0,False
Chelsea,Pedro Neto,FW,0.415,1.06,11.0,10.65,2560.0,False
Chelsea,Danny Welbeck,FW,0.415,1.06,11.0,10.65,2560.0,False
Chelsea,Mykhailo Mudryk,FW,0.415,1.06,11.0,10.65,2560.0,False
Chelsea,João Pedro,FW,0.415,1.06,11.0,10.65,2560.0,False
Chelsea,Emanuel Emegha,FW,0.415,1.06,11.0,10.65,2560.0,False
Chelsea,Liam Delap,FW,0.415,1.06,11.0,10.65,2560.0,False
Everton,Carlos Alcaraz,MF,0.21,0.6,6.0,5.2,2600.0,False
Chelsea,Valentin Barco,MF,0.21,0.6,6.0,5.2,2600.0,False
Aston Villa,Boubacar Kamara,MF,0.21,0.6,6.0,5.2,2600.0,False
Aston Villa,John McGinn,MF,0.21,0.6,6.0,5.2,2600.0,False
Aston Villa,Morgan Rogers,MF,0.21,0.6,6.0,5.2,2600.0,False
Manchester City,Abdukodir Khusanov,DF,0.09,0.25,3.0,2.8,2800.0,False
Manchester City,Max Alleyne,DF,0.09,0.25,3.0,2.8,2800.0,False
Manchester City,Vitor Reis,DF,0.09,0.25,3.0,2.8,2800.0,False
Liverpool,Víctor Muñoz,FW,0.415,1.06,11.0,10.65,2560.0,False
Manchester City,Juma Bah,DF,0.09,0.25,3.0,2.8,2800.0,False
Liverpool,Hugo Ekitike,FW,0.415,1.06,11.0,10.65,2560.0,False
Liverpool,Alexander Isak,FW,0.415,1.06,11.0,10.65,2560.0,False
Liverpool,Ronald Araújo,DF,0.09,0.25,3.0,2.8,2800.0,False
Liverpool,Calvin Ramsay,DF,0.09,0.25,3.0,2.8,2800.0,False
Liverpool,Jeremie Frimpong,DF,0.09,0.25,3.0,2.8,2800.0,False
Liverpool,Milos Kerkez,DF,0.09,0.25,3.0,2.8,2800.0,False
Liverpool,Conor Bradley,DF,0.09,0.25,3.0,2.8,2800.0,False
Liverpool,Giovanni Leoni,DF,0.09,0.25,3.0,2.8,2800.0,False
Liverpool,Jeremy Jacquet,DF,0.09,0.25,3.0,2.8,2800.0,False
Liverpool,Wataru Endō,MF,0.21,0.6,6.0,5.2,2600.0,False
Liverpool,Curtis Jones,MF,0.21,0.6,6.0,5.2,2600.0,False
Liverpool,Dominik Szoboszlai,MF,0.21,0.6,6.0,5.2,2600.0,False
Manchester City,Nico O'Reilly,DF,0.09,0.25,3.0,2.8,2800.0,False
Liverpool,Florian Wirtz,MF,0.21,0.6,6.0,5.2,2600.0,False
Manchester City,Rico Lewis,DF,0.09,0.25,3.0,2.8,2800.0,False
Manchester City,Issa Kaboré,DF,0.09,0.25,3.0,2.8,2800.0,False
Sunderland,Granit Xhaka,MF,0.21,0.6,6.0,5.2,2600.0,False
Sunderland,Alan Browne,MF,0.21,0.6,6.0,5.2,2600.0,False
Sunderland,Enzo Le Fée,MF,0.21,0.6,6.0,5.2,2600.0,False
Sunderland,Habib Diarra,MF,0.21,0.6,6.0,5.2,2600.0,False
Manchester United,Jack Fletcher,MF,0.21,0.6,6.0,5.2,2600.0,False
Manchester United,Toby Collyer,MF,0.21,0.6,6.0,5.2,2600.0,False
Manchester United,Daniel Gore,MF,0.21,0.6,6.0,5.2,2600.0,False
Liverpool,Rio Ngumoha,FW,0.415,1.06,11.0,10.65,2560.0,False
Manchester City,Géronimo Rulli,GK,0.305,0.835,8.0,7.8,2600.0,False
Manchester City,Gianluigi Donnarumma,GK,0.305,0.835,8.0,7.8,2600.0,False
Manchester City,Marcus Bettinelli,GK,0.305,0.835,8.0,7.8,2600.0,False
Manchester City,James Trafford,GK,0.305,0.835,8.0,7.8,2600.0,False
Manchester City,Rayan Aït Nouri,DF,0.09,0.25,3.0,2.8,2800.0,False
Manchester City,Rúben Dias,DF,0.09,0.25,3.0,2.8,2800.0,False
Manchester City,Matheus Nunes,DF,0.09,0.25,3.0,2.8,2800.0,False
Manchester City,Marc Guéhi,DF,0.09,0.25,3.0,2.8,2800.0,False
Manchester City,Joško Gvardiol,DF,0.09,0.25,3.0,2.8,2800.0,False
Manchester City,Josh Wilson-Esbrand,DF,0.09,0.25,3.0,2.8,2800.0,False
Liverpool,Ryan Gravenberch,MF,0.21,0.6,6.0,5.2,2600.0,False
Liverpool,Harvey Elliott,MF,0.21,0.6,6.0,5.2,2600.0,False
Liverpool,Stefan Bajcetic,MF,0.21,0.6,6.0,5.2,2600.0,False
Manchester United,Senne Lammens,GK,0.305,0.835,8.0,7.8,2600.0,False
Manchester City,Tijjani Reijnders,MF,0.21,0.6,6.0,5.2,2600.0,False
Manchester City,Elliot Anderson,MF,0.21,0.6,6.0,5.2,2600.0,False
Manchester City,Rayan Cherki,MF,0.21,0.6,6.0,5.2,2600.0,False
Manchester City,Nico Gonzalez,MF,0.21,0.6,6.0,5.2,2600.0,False
Manchester City,Claudio Echeverri,MF,0.21,0.6,6.0,5.2,2600.0,False
Manchester City,Jack Grealish,FW,0.415,1.06,11.0,10.65,2560.0,False
Manchester City,Antoine Semenyo,FW,0.415,1.06,11.0,10.65,2560.0,False
Manchester City,Omar Marmoush,FW,0.415,1.06,11.0,10.65,2560.0,False
Manchester City,Sávio,FW,0.415,1.06,11.0,10.65,2560.0,False
Manchester City,Jeremy Monga,FW,0.415,1.06,11.0,10.65,2560.0,False
Manchester City,Ryan McAidoo,FW,0.415,1.06,11.0,10.65,2560.0,False
Manchester United,Karl Darlow,GK,0.305,0.835,8.0,7.8,2600.0,False
Manchester United,Tom Heaton,GK,0.305,0.835,8.0,7.8,2600.0,False
Manchester United,Altay Bayındır,GK,0.305,0.835,8.0,7.8,2600.0,False
Manchester United,Radek Vitek,GK,0.305,0.835,8.0,7.8,2600.0,False
Coventry City,Sidiki Cherif,FW,0.415,1.06,11.0,10.65,2560.0,False
Manchester United,Dermot Mee,GK,0.305,0.835,8.0,7.8,2600.0,False
Manchester United,Kobbie Mainoo,MF,0.21,0.6,6.0,5.2,2600.0,False
Manchester United,Andrey Santos,MF,0.21,0.6,6.0,5.2,2600.0,False
Manchester United,Manuel Ugarte,MF,0.21,0.6,6.0,5.2,2600.0,False
Liverpool,Trey Nyoni,MF,0.21,0.6,6.0,5.2,2600.0,False
Liverpool,Federico Chiesa,FW,0.415,1.06,11.0,10.65,2560.0,False
Tottenham Hotspur,Djed Spence,DF,0.09,0.25,3.0,2.8,2800.0,False
Manchester City,Mateo Kovačić,MF,0.21,0.6,6.0,5.2,2600.0,False
Manchester City,Kalvin Phillips,MF,0.21,0.6,6.0,5.2,2600.0,False
Manchester United,Matthijs de Ligt,DF,0.09,0.25,3.0,2.8,2800.0,False
Manchester United,Noussair Mazraoui,DF,0.09,0.25,3.0,2.8,2800.0,False
Manchester United,Luke Shaw,DF,0.09,0.25,3.0,2.8,2800.0,False
Sunderland,Aji Alese,DF,0.09,0.25,3.0,2.8,2800.0,False
Manchester United,Diogo Dalot,DF,0.09,0.25,3.0,2.8,2800.0,False
Manchester United,Leny Yoro,DF,0.09,0.25,3.0,2.8,2800.0,False
Manchester United,Tyler Fredricson,DF,0.09,0.25,3.0,2.8,2800.0,False
Manchester United,Harry Amass,DF,0.09,0.25,3.0,2.8,2800.0,False
Manchester United,Patrick Dorgu,DF,0.09,0.25,3.0,2.8,2800.0,False
Manchester United,Ayden Heaven,DF,0.09,0.25,3.0,2.8,2800.0,False
Manchester United,Diego León,DF,0.09,0.25,3.0,2.8,2800.0,False
Manchester United,Youri Tielemans,MF,0.21,0.6,6.0,5.2,2600.0,False
Manchester United,Mason Mount,MF,0.21,0.6,6.0,5.2,2600.0,False
Manchester United,Lisandro Martínez,DF,0.09,0.25,3.0,2.8,2800.0,False
Sunderland,Leo Fuhr Hjelde,DF,0.09,0.25,3.0,2.8,2800.0,False
Sunderland,Jenson Seelt,DF,0.09,0.25,3.0,2.8,2800.0,False
Sunderland,Timothee Pembele,DF,0.09,0.25,3.0,2.8,2800.0,False
Newcastle United,Yoane Wissa,FW,0.415,1.06,11.0,10.65,2560.0,False
Newcastle United,Jacob Murphy,FW,0.415,1.06,11.0,10.65,2560.0,False
Newcastle United,Harvey Barnes,FW,0.415,1.06,11.0,10.65,2560.0,False
Newcastle United,Nick Woltemade,FW,0.415,1.06,11.0,10.65,2560.0,False
Newcastle United,Anthony Elanga,FW,0.415,1.06,11.0,10.65,2560.0,False
Newcastle United,Lewis Miley,MF,0.21,0.6,6.0,5.2,2600.0,False
Newcastle United,Malick Thiaw,DF,0.09,0.25,3.0,2.8,2800.0,False
Newcastle United,Amar Dedić,DF,0.09,0.25,3.0,2.8,2800.0,False
Newcastle United,Sven Botman,DF,0.09,0.25,3.0,2.8,2800.0,False
Manchester United,Jacob Devaney,MF,0.21,0.6,6.0,5.2,2600.0,False
Manchester United,Bryan Mbeumo,FW,0.415,1.06,11.0,10.65,2560.0,False
Manchester United,Matheus Cunha,FW,0.415,1.06,11.0,10.65,2560.0,False
Manchester United,Joshua Zirkzee,FW,0.415,1.06,11.0,10.65,2560.0,False
Manchester United,Benjamin Šeško,FW,0.415,1.06,11.0,10.65,2560.0,False
Manchester United,Amad Diallo,FW,0.415,1.06,11.0,10.65,2560.0,False
Manchester United,Ethan Wheatley,FW,0.415,1.06,11.0,10.65,2560.0,False
Manchester United,Chido Obi-Martin,FW,0.415,1.06,11.0,10.65,2560.0,False
Newcastle United,Aladji Bamba,MF,0.21,0.6,6.0,5.2,2600.0,False
Newcastle United,Sean Steur,MF,0.21,0.6,6.0,5.2,2600.0,False
Newcastle United,Joe White,MF,0.21,0.6,6.0,5.2,2600.0,False
Newcastle United,Valentino Livramento,DF,0.09,0.25,3.0,2.8,2800.0,False
Aston Villa,Amadou Onana,MF,0.21,0.6,6.0,5.2,2600.0,False
Aston Villa,João Gomes,MF,0.21,0.6,6.0,5.2,2600.0,False
Aston Villa,Lamare Bogarde,MF,0.21,0.6,6.0,5.2,2600.0,False
Aston Villa,Johan Manzambi,MF,0.21,0.6,6.0,5.2,2600.0,False
Aston Villa,George Hemmings,MF,0.21,0.6,6.0,5.2,2600.0,False
Aston Villa,Leon Bailey,FW,0.415,1.06,11.0,10.65,2560.0,False
Aston Villa,Ollie Watkins,FW,0.415,1.06,11.0,10.65,2560.0,False
Aston Villa,Tammy Abraham,FW,0.415,1.06,11.0,10.65,2560.0,False
Manchester United,Shea Lacey,FW,0.415,1.06,11.0,10.65,2560.0,False
Aston Villa,Evann Guessand,FW,0.415,1.06,11.0,10.65,2560.0,False
Liverpool,Joe Gomez,DF,0.09,0.25,3.0,2.8,2800.0,False
Newcastle United,Lewis Hall,DF,0.09,0.25,3.0,2.8,2800.0,False
Newcastle United,Alex Murphy,DF,0.09,0.25,3.0,2.8,2800.0,False
Newcastle United,Leo Shahar,DF,0.09,0.25,3.0,2.8,2800.0,False
Newcastle United,Bruno Guimarães,MF,0.21,0.6,6.0,5.2,2600.0,False
Newcastle United,Joe Willock,MF,0.21,0.6,6.0,5.2,2600.0,False
Newcastle United,Joelinton,MF,0.21,0.6,6.0,5.2,2600.0,False
Newcastle United,Jacob Ramsey,MF,0.21,0.6,6.0,5.2,2600.0,False
Liverpool,Kostas Tsimikas,DF,0.09,0.25,3.0,2.8,2800.0,False
Brentford,Jayden Meghoma,DF,0.09,0.25,3.0,2.8,2800.0,False
Newcastle United,Nick Pope,GK,0.305,0.835,8.0,7.8,2600.0,False
Newcastle United,Lukáš Horníček,GK,0.305,0.835,8.0,7.8,2600.0,False
Tottenham Hotspur,Andrew Robertson,DF,0.09,0.25,3.0,2.8,2800.0,False
Tottenham Hotspur,Ben Davies,DF,0.09,0.25,3.0,2.8,2800.0,False
Tottenham Hotspur,Christian Romero,DF,0.09,0.25,3.0,2.8,2800.0,False
Sunderland,Chris Rigg,MF,0.21,0.6,6.0,5.2,2600.0,False
Manchester United,Tyler Fletcher,MF,0.21,0.6,6.0,5.2,2600.0,False
Sunderland,Noah Sadiki,MF,0.21,0.6,6.0,5.2,2600.0,False
Sunderland,Abdoullah Ba,MF,0.21,0.6,6.0,5.2,2600.0,False
Sunderland,Robin Roefs,GK,0.305,0.835,8.0,7.8,2600.0,False
Sunderland,Melker Ellborg,GK,0.305,0.835,8.0,7.8,2600.0,False
Sunderland,Thomas Meunier,DF,0.09,0.25,3.0,2.8,2800.0,False
Sunderland,Luke O'Nien,DF,0.09,0.25,3.0,2.8,2800.0,False
Sunderland,Arthur Masuaku,DF,0.09,0.25,3.0,2.8,2800.0,False
Sunderland,Nordi Mukiele,DF,0.09,0.25,3.0,2.8,2800.0,False
Sunderland,Reinildo,DF,0.09,0.25,3.0,2.8,2800.0,False
Sunderland,Omar Alderete,DF,0.09,0.25,3.0,2.8,2800.0,False
Sunderland,Trai Hume,DF,0.09,0.25,3.0,2.8,2800.0,False
Sunderland,Daniel Ballard,DF,0.09,0.25,3.0,2.8,2800.0,False
Tottenham Hotspur,Kevin Danso,DF,0.09,0.25,3.0,2.8,2800.0,False
Tottenham Hotspur,Antonín Kinský,GK,0.305,0.835,8.0,7.8,2600.0,False
Tottenham Hotspur,Brandon Austin,GK,0.305,0.835,8.0,7.8,2600.0,False
Tottenham Hotspur,Martin Dúbravka,GK,0.305,0.835,8.0,7.8,2600.0,False
Newcastle United,Ewen Jaouen,GK,0.305,0.835,8.0,7.8,2600.0,False
Newcastle United,Aidan Harris,GK,0.305,0.835,8.0,7.8,2600.0,False
Newcastle United,Fabian Schär,DF,0.09,0.25,3.0,2.8,2800.0,False
Newcastle United,Dan Burn,DF,0.09,0.25,3.0,2.8,2800.0,False
Newcastle United,William Osula,FW,0.415,1.06,11.0,10.65,2560.0,False
Newcastle United,Bazoumana Touré,FW,0.415,1.06,11.0,10.65,2560.0,False
Sunderland,Simon Moore,GK,0.305,0.835,8.0,7.8,2600.0,False
Sunderland,Anthony Patterson,GK,0.305,0.835,8.0,7.8,2600.0,False
Newcastle United,Mark Gillespie,GK,0.305,0.835,8.0,7.8,2600.0,False
Coventry City,Jahnoah Markelo,FW,0.415,1.06,11.0,10.65,2560.0,False
Sunderland,Simon Adingra,FW,0.415,1.06,11.0,10.65,2560.0,False
Sunderland,Romaine Mundle,FW,0.415,1.06,11.0,10.65,2560.0,False
Sunderland,Nilson Angulo,FW,0.415,1.06,11.0,10.65,2560.0,False
Sunderland,Ahmed Abdullahi,FW,0.415,1.06,11.0,10.65,2560.0,False
Sunderland,Chemsdine Talbi,FW,0.415,1.06,11.0,10.65,2560.0,False
